name,ats,slug,source_url
Wiz,greenhouse,wizinc,https://www.wiz.io/careers/job/4703026006/:title?
Zipline,greenhouse,flyzipline,https://www.zipline.com/open-roles?
TRM Labs,ashby,trm-labs,https://www.trmlabs.com/careers?
Avoca,ashby,avoca,https://www.avoca.ai/careers?
Apollo.io,greenhouse,apolloio,https://job-boards.greenhouse.io/apolloio/jobs/
Oklo,greenhouse,oklo,https://job-boards.greenhouse.io/oklo/jobs/
PagerDuty,greenhouse,pagerduty,https://job-boards.greenhouse.io/pagerduty/jobs/
Weave,ashby,weave,https://jobs.ashbyhq.com/weave/
Databricks,greenhouse,databricks,https://www.databricks.com/company/careers/
Visa,workday,https://visa.wd5.myworkdayjobs.com/Visa,https://visa.wd5.myworkdayjobs.com/Visa/
AMD,jibe,https://careers.amd.com,https://careers.amd.com/careers-home/jobs/
Salesforce,workday,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/
Atlassian,atlassian,https://www.atlassian.com/endpoint/careers/listings,https://careers-americas.icims.com/jobs/
AMD,jibe,https://careers.amd.com,https://careers.amd.com/careers-home/jobs/
IBM,ibm,ibm,https://careers.ibm.com/en_US/careers/JobDetail?
Block,greenhouse,block,https://block.xyz/careers/jobs/
HPE,workday,https://hpe.wd5.myworkdayjobs.com/Jobsathpe,https://careers.hpe.com/us/en/job/1209952/
Apple,apple,apple,https://jobs.apple.com/en-us/details/
ServiceNow,smartrecruiters,servicenow,https://careers.servicenow.com/jobs/744000141969660/
Palo Alto Networks,workday,https://paloaltonetworks.wd5.myworkdayjobs.com/panwexternalcareers,https://paloaltonetworks.wd5.myworkdayjobs.com/panwexternalcareers/job/
SAP,successfactors,https://jobs.sap.com,https://jobs.sap.com/job/
Motorola Solutions,workday,https://motorolasolutions.wd5.myworkdayjobs.com/Careers,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/
Capital One,workday,https://capitalone.wd12.myworkdayjobs.com/Capital_One,https://www.capitalonecareers.com/job/-/-/234/
Lyft,greenhouse,lyft,https://app.careerpuck.com/job-board/lyft/job/
Lenovo,avature,https://jobs.lenovo.com/en_US/careers,https://jobs.lenovo.com/en_US/careers/JobDetail?
Palantir,lever,palantir,https://jobs.lever.co/palantir/
Sony,workday,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers,https://sonyglobal.wd1.myworkdayjobs.com/en-US/SonyGlobalCareers/job/
HP,workday,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite,https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/
Dropbox,greenhouse,dropbox,https://www.dropbox.jobs/en/jobs
Sony,workday,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers/job/
Dell,oracle,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers,https://enterpriseplatform.dell.com/hcmUI/CandidateExperience/en/sites/careers/job/
CVS Health,workday,https://cvshealth.wd1.myworkdayjobs.com/CVS_Health_Careers,https://jobs.cvshealth.com/us/en/job/CVSCHLUSR0954957EXTERNALENUS/
Walmart,workday,https://walmart.wd504.myworkdayjobs.com/WalmartExternal,https://careers.walmart.com/us/en/jobs/
GitHub,jibe,https://githubinc.jibeapply.com,https://githubinc.jibeapply.com/jobs/
JPMorgan Chase,oracle,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/
HDFC Bank,oracle,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/LateralHiring/job/
Scale AI,greenhouse,scaleai,https://job-boards.greenhouse.io/scaleai/jobs/
Samsung,workday,https://sec.wd3.myworkdayjobs.com/Samsung_Careers,https://sec.wd3.myworkdayjobs.com/Samsung_Careers/job/
Spotify,lever,spotify,https://jobs.lever.co/spotify/
AT&T,workday,https://att.wd1.myworkdayjobs.com/ATTGeneral,https://www.att.jobs/job/-/
Citi,workday,https://citi.wd5.myworkdayjobs.com/2,https://jobs.citi.com/job/-/-/
